platform,url
About me,about.me/ricardo_herrera
All my links,allmylinks.com/ricardoherreramusica
Amazon Music,music.amazon.com/artists/B0CNPW6ZSK
BandCamp,ricardoherrera.bandcamp.com
BandsInTown,bnds.us/maovfy
Behance,behance.net/ricardoherreramusica
Buy me a coffee,buymeacoffee.com/ricardoherrera
Eventbrite,ricardoherrera.eventbrite.com.mx
Facebook,fb.com/RicardoHerreraMusica
Flickr,flickr.com/photos/ricardoherrera994
FlipHTML5,fliphtml5.com/bookcase/skaxm
Instagram,instagram.com/ricardoherreramx
iTunes,music.apple.com/artist/ricardo-herrera/1518410807
Ko-fi,ko-fi.com/ricardoherreramx
LinkTree,linktr.ee/ricardoherrera
MuseScore,musescore.com/ricardoherrera
MyBio,my.bio/ricardoherreramusica
SoloPiano,solopiano.com/artist/ricardoherrera
SoundBetter,soundbetter.com/profiles/436891-ricardo-h
SoundCloud,soundcloud.com/ricardo-herrera-720035225
Spotify,open.spotify.com/artist/2pzRCEZ38iLXzlwI7cV4rf
Threads,threads.net/@ricardoherreramx
TikTok,tiktok.com/@ricardoherreramx
Wix (depreciado),ricardoherrera.wix.com/musica
YouTube,youtube.com/@ricardoherreramx